City,Date,Season,Team1,Team2,Venue,TossWinner,TossDecision,WinningTeam,method,Umpire1,Umpire2,players_team1,players_team2,Total_Team1_Performance_score,Total_Team2_Performance_score
Bangalore,2010-03-16,2010,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab,bat,Royal Challengers Bangalore,,S Das,DJ Harper,"['Manish Pandey', 'Jacques Kallis', 'Robin Uthappa', 'Virat Kohli', 'Rahul Dravid', 'Eoin Morgan', 'Mark Boucher', 'Praveen Kumar', 'Anil Kumble', 'Dale Steyn', 'Vinay Kumar']","['Ravi Bopara', 'Manvinder Bisla', 'Yuvraj Singh', 'Mahela Jayawardene', 'Irfan Pathan', 'Kumar Sangakkara', 'Mohammad Kaif', 'Piyush Chawla', 'Bipul Sharma', 'Yusuf Abdulla', 'Shanthakumaran Sreesanth']",2.443985256720558,2.224767821334277
Delhi,2010-03-17,2010,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Delhi Daredevils,field,Mumbai Indians,,BR Doctrove,SK Tarapore,"['Tillakaratne Dilshan', 'Virender Sehwag', 'Ab De Villiers', 'Mf Maharoof', 'Dinesh Karthik', 'Mithun Manhas', 'Amit Mishra', 'Pradeep Sangwan', 'Sarabjit Ladda', 'Dirk Nannes', 'Gautam Gambhir']","['Sanath Jayasuriya', 'Sachin Tendulkar', 'Aditya Tare', 'Saurabh Tiwary', 'Ambati Rayudu', 'Kieron Pollard', 'Dwayne Bravo', 'Rajagopal Sathish', 'Harbhajan Singh', 'Zaheer Khan', 'Lasith Malinga']",2.1922335852385757,2.352409360524849
Bangalore,2010-03-18,2010,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,,K Hariharan,DJ Harper,"['Manish Pandey', 'Jacques Kallis', 'Robin Uthappa', 'Virat Kohli', 'Rahul Dravid', 'Eoin Morgan', 'Mark Boucher', 'Praveen Kumar', 'Anil Kumble', 'Dale Steyn', 'Vinay Kumar']","['Naman Ojha', 'Michael Lumb', 'Damien Martyn', 'Abhishek Jhunjhunwala', 'Yusuf Pathan', 'Paras Dogra', 'Sumit Narwal', 'Shane Warne', 'Morne Morkel', 'Munaf Patel', 'Siddharth Trivedi']",2.443985256720558,1.8230653308422136
Cuttack,2010-03-19,2010,Deccan Chargers,Kings XI Punjab,Barabati Stadium,Kings XI Punjab,field,Deccan Chargers,,BF Bowden,M Erasmus,"['Adam Gilchrist', 'Vvs Laxman', 'Herschelle Gibbs', 'Andrew Symonds', 'Rohit Sharma', 'Anirudh Singh', 'Tirumalasetti Suman', 'Chaminda Vaas', 'Jaskaran Singh', 'Rp Singh', 'Pragyan Ojha']","['Ravi Bopara', 'Manvinder Bisla', 'Kumar Sangakkara', 'Yuvraj Singh', 'Mahela Jayawardene', 'Adrian Barath', 'Irfan Pathan', 'Piyush Chawla', 'Bipul Sharma', 'Shanthakumaran Sreesanth', 'Shalabh Srivastava']",2.4390503382825455,2.034658858814166
Delhi,2010-03-19,2010,Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,Delhi Daredevils,bat,Chennai Super Kings,,BR Doctrove,SK Tarapore,"['David Warner', 'Virender Sehwag', 'Tillakaratne Dilshan', 'Dinesh Karthik', 'Ab De Villiers', 'Mithun Manhas', 'Rajat Bhatia', 'Amit Mishra', 'Pradeep Sangwan', 'Dirk Nannes', 'Umesh Yadav']","['Parthiv Patel', 'Matthew Hayden', 'Subramaniam Badrinath', 'Suresh Raina', 'Albie Morkel', 'Jm Kemp', 'Murali Vijay', 'Ravichandran Ashwin', 'Lakshmipathy Balaji', 'Muttiah Muralitharan', 'Joginder Sharma']",2.054227220548265,2.557927120828196
Ahmedabad,2010-03-20,2010,Rajasthan Royals,Kolkata Knight Riders,"Sardar Patel Stadium, Motera",Rajasthan Royals,bat,Rajasthan Royals,,RE Koertzen,RB Tiffin,"['Michael Lumb', 'Naman Ojha', 'Faiz Fazal', 'Abhishek Jhunjhunwala', 'Yusuf Pathan', 'Adam Voges', 'Paras Dogra', 'Shane Warne', 'Munaf Patel', 'Siddharth Trivedi', 'Shaun Tait']","['Manoj Tiwary', 'Brad Hodge', 'Cheteshwar Pujara', 'Sourav Ganguly', 'Owais Shah', 'Angelo Mathews', 'Wriddhiman Saha', 'Murali Kartik', 'Ashok Dinda', 'Shane Bond', 'Ishant Sharma']",2.1286087503364604,2.186948465019545
Mumbai,2010-03-20,2010,Mumbai Indians,Royal Challengers Bangalore,Brabourne Stadium,Mumbai Indians,bat,Royal Challengers Bangalore,,HDPK Dharmasena,SS Hazare,"['Sanath Jayasuriya', 'Sachin Tendulkar', 'Aditya Tare', 'Saurabh Tiwary', 'Ambati Rayudu', 'Dwayne Bravo', 'Rajagopal Sathish', 'Kieron Pollard', 'Harbhajan Singh', 'Zaheer Khan', 'Lasith Malinga']","['Manish Pandey', 'Jacques Kallis', 'Robin Uthappa', 'Virat Kohli', 'Eoin Morgan', 'Rahul Dravid', 'Mark Boucher', 'Praveen Kumar', 'Anil Kumble', 'Dale Steyn', 'Vinay Kumar']",2.352409360524849,2.443985256720558
Cuttack,2010-03-21,2010,Deccan Chargers,Delhi Daredevils,Barabati Stadium,Deccan Chargers,bat,Deccan Chargers,,BF Bowden,M Erasmus,"['Mohnish Mishra', 'Adam Gilchrist', 'Herschelle Gibbs', 'Andrew Symonds', 'Rohit Sharma', 'Tirumalasetti Suman', 'Venugopal Rao', 'Chaminda Vaas', 'Rahul Sharma', 'Pragyan Ojha', 'Rp Singh']","['David Warner', 'Virender Sehwag', 'Ab De Villiers', 'Dinesh Karthik', 'Mithun Manhas', 'Moises Henriques', 'Yogesh Nagar', 'Amit Mishra', 'Umesh Yadav', 'Sarabjit Ladda', 'Dirk Nannes']",2.592590922273262,2.0694269650887063
Chennai,2010-03-21,2010,Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,field,Kings XI Punjab,,K Hariharan,DJ Harper,"['Parthiv Patel', 'Matthew Hayden', 'Suresh Raina', 'Murali Vijay', 'Subramaniam Badrinath', 'Albie Morkel', 'Manpreet Gony', 'Ravichandran Ashwin', 'Jm Kemp', 'Lakshmipathy Balaji', 'Muttiah Muralitharan']","['Ravi Bopara', 'Irfan Pathan', 'Kumar Sangakkara', 'Mahela Jayawardene', 'Yuvraj Singh', 'Mohammad Kaif', 'Manvinder Bisla', 'Piyush Chawla', 'Juan Theron', 'Ramesh Powar', 'Shalabh Srivastava']",2.554294472287137,2.0819953020917907
Mumbai,2010-03-22,2010,Mumbai Indians,Kolkata Knight Riders,Brabourne Stadium,Kolkata Knight Riders,bat,Mumbai Indians,,SS Hazare,SJA Taufel,"['Shikhar Dhawan', 'Sachin Tendulkar', 'Saurabh Tiwary', 'Kieron Pollard', 'Rajagopal Sathish', 'Aditya Tare', 'Dwayne Bravo', 'Ryan Mclaren', 'Harbhajan Singh', 'Zaheer Khan', 'Lasith Malinga']","['Chris Gayle', 'Sourav Ganguly', 'Owais Shah', 'Angelo Mathews', 'Cheteshwar Pujara', 'Mandeep Singh', 'Wriddhiman Saha', 'Murali Kartik', 'Harpreet Singh', 'Shane Bond', 'Ishant Sharma']",2.037368435822624,1.913120740110314
Bangalore,2010-03-23,2010,Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings,field,Royal Challengers Bangalore,,RE Koertzen,RB Tiffin,"['Manish Pandey', 'Jacques Kallis', 'Rahul Dravid', 'Robin Uthappa', 'Virat Kohli', 'Eoin Morgan', 'Mark Boucher', 'Praveen Kumar', 'Anil Kumble', 'Dale Steyn', 'Vinay Kumar']","['Parthiv Patel', 'Matthew Hayden', 'George Bailey', 'Suresh Raina', 'Murali Vijay', 'Subramaniam Badrinath', 'Albie Morkel', 'Ravichandran Ashwin', 'Lakshmipathy Balaji', 'Muttiah Muralitharan', 'Sudeep Tyagi']",2.443985256720558,2.6121767272427663
Chandigarh,2010-03-24,2010,Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,field,Rajasthan Royals,,BR Doctrove,SK Tarapore,"['Ravi Bopara', 'Kumar Sangakkara', 'Manvinder Bisla', 'Yuvraj Singh', 'Mahela Jayawardene', 'Irfan Pathan', 'Mohammad Kaif', 'Piyush Chawla', 'Juan Theron', 'Shanthakumaran Sreesanth', 'Shalabh Srivastava']","['Michael Lumb', 'Naman Ojha', 'Faiz Fazal', 'Yusuf Pathan', 'Adam Voges', 'Paras Dogra', 'Abhishek Jhunjhunwala', 'Shane Warne', 'Munaf Patel', 'Siddharth Trivedi', 'Shaun Tait']",2.0723150956018648,2.128608750336461
Mumbai,2010-03-25,2010,Chennai Super Kings,Mumbai Indians,"Brabourne Stadium, Mumbai",Mumbai Indians,field,Mumbai Indians,,AM Saheba,BF Bowden,"['Parthiv Patel', 'Matthew Hayden', 'Suresh Raina', 'Subramaniam Badrinath', 'Ms Dhoni', 'Albie Morkel', 'Thisara Perera', 'Joginder Sharma', 'Lakshmipathy Balaji', 'Muttiah Muralitharan', 'Shadab Jakati']","['Shikhar Dhawan', 'Sachin Tendulkar', 'Saurabh Tiwary', 'Rajagopal Sathish', 'Kieron Pollard', 'Dwayne Bravo', 'Ryan Mclaren', 'Aditya Tare', 'Harbhajan Singh', 'Zaheer Khan', 'Lasith Malinga']",2.75550709928587,2.037368435822624
Bangalore,2010-03-25,2010,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Delhi Daredevils,,BG Jerling,RE Koertzen,"['Manish Pandey', 'Jacques Kallis', 'Robin Uthappa', 'Rahul Dravid', 'Eoin Morgan', 'Virat Kohli', 'Mark Boucher', 'Vinay Kumar', 'Praveen Kumar', 'Dale Steyn', 'Anil Kumble']","['David Warner', 'Virender Sehwag', 'Ab De Villiers', 'Dinesh Karthik', 'Kedar Jadhav', 'Andrew Mcdonald', 'Mithun Manhas', 'Amit Mishra', 'Dirk Nannes', 'Umesh Yadav', 'Pradeep Sangwan']",2.443985256720558,2.112943533702749
Ahmedabad,2010-03-26,2010,Rajasthan Royals,Deccan Chargers,"Sardar Patel Stadium, Motera",Deccan Chargers,bat,Rajasthan Royals,,HDPK Dharmasena,SJA Taufel,"['Michael Lumb', 'Naman Ojha', 'Yusuf Pathan', 'Faiz Fazal', 'Adam Voges', 'Abhishek Jhunjhunwala', 'Paras Dogra', 'Shane Warne', 'Sumit Narwal', 'Siddharth Trivedi', 'Shaun Tait']","['Adam Gilchrist', 'Vvs Laxman', 'Herschelle Gibbs', 'Andrew Symonds', 'Rohit Sharma', 'Tirumalasetti Suman', 'Venugopal Rao', 'Chaminda Vaas', 'Rahul Sharma', 'Rp Singh', 'Pragyan Ojha']",2.0438759841348304,2.4544826733725364
Chandigarh,2010-03-27,2010,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,bat,Kolkata Knight Riders,,BR Doctrove,S Ravi,"['Ravi Bopara', 'Yuvraj Singh', 'Manvinder Bisla', 'Kumar Sangakkara', 'Mahela Jayawardene', 'Irfan Pathan', 'Karan Goel', 'Brett Lee', 'Piyush Chawla', 'Shalabh Srivastava', 'Vikramjeet Malik']","['Chris Gayle', 'Sourav Ganguly', 'Mandeep Singh', 'Manoj Tiwary', 'David Hussey', 'Angelo Mathews', 'Wriddhiman Saha', 'Shane Bond', 'Ajit Agarkar', 'Ashok Dinda', 'Iqbal Abdulla']",2.011963813689654,1.7905741397212038
Mumbai,2010-03-28,2010,Deccan Chargers,Mumbai Indians,Dr DY Patil Sports Academy,Deccan Chargers,field,Mumbai Indians,,S Das,K Hariharan,"['Adam Gilchrist', 'Mohnish Mishra', 'Herschelle Gibbs', 'Andrew Symonds', 'Rohit Sharma', 'Tirumalasetti Suman', 'Venugopal Rao', 'Jaskaran Singh', 'Kemar Roach', 'Rp Singh', 'Pragyan Ojha']","['Shikhar Dhawan', 'Sachin Tendulkar', 'Dwayne Bravo', 'Saurabh Tiwary', 'Ambati Rayudu', 'Rajagopal Sathish', 'Kieron Pollard', 'Ryan Mclaren', 'Harbhajan Singh', 'Zaheer Khan', 'Lasith Malinga']",2.5116350640239227,2.3432788779978404
Ahmedabad,2010-03-28,2010,Rajasthan Royals,Chennai Super Kings,"Sardar Patel Stadium, Motera",Rajasthan Royals,bat,Rajasthan Royals,,SS Hazare,SJA Taufel,"['Michael Lumb', 'Naman Ojha', 'Faiz Fazal', 'Yusuf Pathan', 'Adam Voges', 'Abhishek Jhunjhunwala', 'Paras Dogra', 'Sumit Narwal', 'Shane Warne', 'Shaun Tait', 'Siddharth Trivedi']","['Murali Vijay', 'Matthew Hayden', 'Suresh Raina', 'Ms Dhoni', 'Subramaniam Badrinath', 'Albie Morkel', 'Arun Karthik', 'Thilan Thushara', 'Joginder Sharma', 'Muttiah Muralitharan', 'Shadab Jakati']",2.0438759841348304,2.675384427576366
Delhi,2010-03-29,2010,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,bat,Delhi Daredevils,,SS Hazare,SJA Taufel,"['David Warner', 'Virender Sehwag', 'Gautam Gambhir', 'Dinesh Karthik', 'Paul Collingwood', 'Kedar Jadhav', 'Andrew Mcdonald', 'Amit Mishra', 'Dirk Nannes', 'Umesh Yadav', 'Rajat Bhatia']","['Chris Gayle', 'Sourav Ganguly', 'Mandeep Singh', 'Manoj Tiwary', 'David Hussey', 'Angelo Mathews', 'Wriddhiman Saha', 'Ajit Agarkar', 'Murali Kartik', 'Charl Langeveldt', 'Ishant Sharma']",2.2750507187098803,1.898341265136247
Mumbai,2010-03-30,2010,Mumbai Indians,Kings XI Punjab,Brabourne Stadium,Mumbai Indians,field,Mumbai Indians,,BR Doctrove,SK Tarapore,"['Shikhar Dhawan', 'Sachin Tendulkar', 'Kieron Pollard', 'Saurabh Tiwary', 'Ambati Rayudu', 'Dwayne Bravo', 'Rajagopal Sathish', 'Harbhajan Singh', 'Ryan Mclaren', 'Zaheer Khan', 'Lasith Malinga']","['Ravi Bopara', 'Shaun Marsh', 'Manvinder Bisla', 'Mahela Jayawardene', 'Yuvraj Singh', 'Irfan Pathan', 'Brett Lee', 'Karan Goel', 'Piyush Chawla', 'Vikramjeet Malik', 'Shalabh Srivastava']",2.3432788779978404,1.9293014319214241
Delhi,2010-03-31,2010,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Delhi Daredevils,bat,Delhi Daredevils,,HDPK Dharmasena,SJA Taufel,"['David Warner', 'Virender Sehwag', 'Gautam Gambhir', 'Paul Collingwood', 'Kedar Jadhav', 'Dinesh Karthik', 'Andrew Mcdonald', 'Amit Mishra', 'Mf Maharoof', 'Sarabjit Ladda', 'Umesh Yadav']","['Michael Lumb', 'Naman Ojha', 'Faiz Fazal', 'Abhishek Jhunjhunwala', 'Adam Voges', 'Yusuf Pathan', 'Paras Dogra', 'Shane Warne', 'Sumit Narwal', 'Shaun Tait', 'Siddharth Trivedi']",2.223805660410356,2.0438759841348304
Chennai,2010-03-31,2010,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,bat,Chennai Super Kings,,BG Jerling,RE Koertzen,"['Murali Vijay', 'Matthew Hayden', 'Suresh Raina', 'Ms Dhoni', 'Albie Morkel', 'Subramaniam Badrinath', 'Chandrasekar Ganapathy', 'Manpreet Gony', 'Muttiah Muralitharan', 'Thilan Thushara', 'Shadab Jakati']","['Manish Pandey', 'Jacques Kallis', 'Robin Uthappa', 'Virat Kohli', 'Kevin Pietersen', 'Cameron White', 'Rahul Dravid', 'Praveen Kumar', 'Anil Kumble', 'Dale Steyn', 'Vinay Kumar']",2.750569415299291,2.440537494137623
Kolkata,2010-04-01,2010,Kolkata Knight Riders,Deccan Chargers,Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders,,K Hariharan,DJ Harper,"['Sourav Ganguly', 'Chris Gayle', 'Cheteshwar Pujara', 'Manoj Tiwary', 'David Hussey', 'Angelo Mathews', 'Wriddhiman Saha', 'Ajit Agarkar', 'Murali Kartik', 'Shane Bond', 'Mohnish Parmar']","['Herschelle Gibbs', 'Adam Gilchrist', 'Mohnish Mishra', 'Andrew Symonds', 'Rohit Sharma', 'Tirumalasetti Suman', 'Venugopal Rao', 'Jaskaran Singh', 'Kemar Roach', 'Harmeet Singh Bansal', 'Pragyan Ojha']",1.9754496969781155,2.4958689444999127
Chandigarh,2010-04-02,2010,Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,bat,Royal Challengers Bangalore,,BF Bowden,M Erasmus,"['Shaun Marsh', 'Manvinder Bisla', 'Kumar Sangakkara', 'Ravi Bopara', 'Yuvraj Singh', 'Irfan Pathan', 'Brett Lee', 'Piyush Chawla', 'Shalabh Srivastava', 'Bipul Sharma', 'Shanthakumaran Sreesanth']","['Manish Pandey', 'Jacques Kallis', 'Kevin Pietersen', 'Virat Kohli', 'Robin Uthappa', 'Cameron White', 'Rahul Dravid', 'Praveen Kumar', 'Anil Kumble', 'Vinay Kumar', 'Dale Steyn']",2.263093247349201,2.440537494137623
Mumbai,2010-04-03,2010,Mumbai Indians,Deccan Chargers,Brabourne Stadium,Mumbai Indians,bat,Mumbai Indians,,BR Doctrove,S Ravi,"['Shikhar Dhawan', 'Sachin Tendulkar', 'Saurabh Tiwary', 'Dwayne Bravo', 'Ambati Rayudu', 'Kieron Pollard', 'Rajagopal Sathish', 'Ryan Mclaren', 'Harbhajan Singh', 'Zaheer Khan', 'Lasith Malinga']","['Herschelle Gibbs', 'Adam Gilchrist', 'Vvs Laxman', 'Andrew Symonds', 'Rohit Sharma', 'Mohnish Mishra', 'Tirumalasetti Suman', 'Ryan Harris', 'Rahul Sharma', 'Jaskaran Singh', 'Pragyan Ojha']",2.3432788779978395,2.401093251113468
Chennai,2010-04-03,2010,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Chennai Super Kings,,RE Koertzen,RB Tiffin,"['Murali Vijay', 'Matthew Hayden', 'Suresh Raina', 'Albie Morkel', 'Ms Dhoni', 'Subramaniam Badrinath', 'Srikkanth Anirudha', 'Muttiah Muralitharan', 'Shadab Jakati', 'Doug Bollinger', 'Sudeep Tyagi']","['Michael Lumb', 'Naman Ojha', 'Yusuf Pathan', 'Shane Watson', 'Faiz Fazal', 'Abhishek Jhunjhunwala', 'Abhishek Raut', 'Sumit Narwal', 'Shrikant Wagh', 'Shane Warne', 'Shaun Tait']",2.8233588816349213,2.140583586079908
Kolkata,2010-04-04,2010,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,bat,Kings XI Punjab,,S Asnani,DJ Harper,"['Sourav Ganguly', 'Chris Gayle', 'Manoj Tiwary', 'Angelo Mathews', 'David Hussey', 'Cheteshwar Pujara', 'Wriddhiman Saha', 'Ajit Agarkar', 'Murali Kartik', 'Shane Bond', 'Jaydev Unadkat']","['Manvinder Bisla', 'Mahela Jayawardene', 'Kumar Sangakkara', 'Yuvraj Singh', 'Ravi Bopara', 'Irfan Pathan', 'Juan Theron', 'Piyush Chawla', 'Shalabh Srivastava', 'Bipul Sharma', 'Ramesh Powar']",1.9754496969781155,2.0221346397269495
Delhi,2010-04-04,2010,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi Daredevils,bat,Delhi Daredevils,,BF Bowden,M Erasmus,"['David Warner', 'Virender Sehwag', 'Gautam Gambhir', 'Paul Collingwood', 'Dinesh Karthik', 'Kedar Jadhav', 'Daniel Vettori', 'Rajat Bhatia', 'Amit Mishra', 'Mf Maharoof', 'Pradeep Sangwan']","['Jacques Kallis', 'Cameron White', 'Kevin Pietersen', 'Robin Uthappa', 'Ross Taylor', 'Virat Kohli', 'Rahul Dravid', 'Vinay Kumar', 'Abhimanyu Mithun', 'Anil Kumble', 'Kp Appanna']",2.209281832987658,2.258521101962234
Nagpur,2010-04-05,2010,Deccan Chargers,Rajasthan Royals,"Vidarbha Cricket Association Stadium, Jamtha",Rajasthan Royals,bat,Rajasthan Royals,,HDPK Dharmasena,SJA Taufel,"['Vvs Laxman', 'Adam Gilchrist', 'Rohit Sharma', 'Andrew Symonds', 'Anirudh Singh', 'Dwayne Smith', 'Azhar Bilakhia', 'Ryan Harris', 'Rp Singh', 'Harmeet Singh Bansal', 'Pragyan Ojha']","['Michael Lumb', 'Naman Ojha', 'Faiz Fazal', 'Shane Watson', 'Yusuf Pathan', 'Abhishek Jhunjhunwala', 'Abhishek Raut', 'Shane Warne', 'Morne Morkel', 'Aditya Dole', 'Siddharth Trivedi']",2.193732367227044,2.112778495438073
Chennai,2010-04-06,2010,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Chennai Super Kings,,S Asnani,DJ Harper,"['Murali Vijay', 'Matthew Hayden', 'Suresh Raina', 'Ms Dhoni', 'Michael Hussey', 'Subramaniam Badrinath', 'Ravichandran Ashwin', 'Shadab Jakati', 'Doug Bollinger', 'Sudeep Tyagi', 'Thilan Thushara']","['Shikhar Dhawan', 'Sachin Tendulkar', 'Saurabh Tiwary', 'Ambati Rayudu', 'Dwayne Bravo', 'Kieron Pollard', 'Rajagopal Sathish', 'Ryan Mclaren', 'Harbhajan Singh', 'An Ahmed Duplicate', 'Lasith Malinga']",2.481158618750108,2.325258676167679
Jaipur,2010-04-07,2010,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,Kings XI Punjab,bat,Rajasthan Royals,,S Ravi,SK Tarapore,"['Michael Lumb', 'Naman Ojha', 'Yusuf Pathan', 'Shane Watson', 'Faiz Fazal', 'Abhishek Jhunjhunwala', 'Adam Voges', 'Abhishek Raut', 'Shane Warne', 'Siddharth Trivedi', 'Aditya Dole']","['Manvinder Bisla', 'Mahela Jayawardene', 'Kumar Sangakkara', 'Yuvraj Singh', 'Irfan Pathan', 'Ravi Bopara', 'Piyush Chawla', 'Bipul Sharma', 'Juan Theron', 'Shanthakumaran Sreesanth', 'Ramesh Powar']",2.189243167542423,2.111659849185579
Kolkata,2010-04-07,2010,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders,,BG Jerling,RE Koertzen,"['Sourav Ganguly', 'Chris Gayle', 'Brendon Mccullum', 'Manoj Tiwary', 'Angelo Mathews', 'Cheteshwar Pujara', 'Wriddhiman Saha', 'Ajit Agarkar', 'Iqbal Abdulla', 'Ashok Dinda', 'Ajantha Mendis']","['David Warner', 'Virender Sehwag', 'Gautam Gambhir', 'Paul Collingwood', 'Dinesh Karthik', 'Kedar Jadhav', 'Mf Maharoof', 'Rajat Bhatia', 'Daniel Vettori', 'Amit Mishra', 'Pradeep Sangwan']",1.9073761436474466,2.209281832987658
Bangalore,2010-04-08,2010,Royal Challengers Bangalore,Deccan Chargers,M Chinnaswamy Stadium,Deccan Chargers,field,Deccan Chargers,,S Asnani,DJ Harper,"['Manish Pandey', 'Jacques Kallis', 'Rahul Dravid', 'Robin Uthappa', 'Ross Taylor', 'Virat Kohli', 'Cameron White', 'Praveen Kumar', 'Vinay Kumar', 'Anil Kumble', 'Dale Steyn']","['Adam Gilchrist', 'Mohnish Mishra', 'Tirumalasetti Suman', 'Rohit Sharma', 'Andrew Symonds', 'Venugopal Rao', 'Mitchell Marsh', 'Rp Singh', 'Pragyan Ojha', 'Ryan Harris', 'Harmeet Singh Bansal']",2.577754180988516,2.3658629718865347
Chandigarh,2010-04-09,2010,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,bat,Kings XI Punjab,,M Erasmus,AM Saheba,"['Adrian Barath', 'Mahela Jayawardene', 'Kumar Sangakkara', 'Yuvraj Singh', 'Irfan Pathan', 'Reetinder Sodhi', 'Karan Goel', 'Piyush Chawla', 'Ramesh Powar', 'Brett Lee', 'Love Ablish']","['Shikhar Dhawan', 'Sachin Tendulkar', 'Ambati Rayudu', 'Saurabh Tiwary', 'Jp Duminy', 'Rajagopal Sathish', 'Kieron Pollard', 'Harbhajan Singh', 'Ryan Mclaren', 'Zaheer Khan', 'Lasith Malinga']",1.809594985507569,2.46899041355364
Nagpur,2010-04-10,2010,Deccan Chargers,Chennai Super Kings,"Vidarbha Cricket Association Stadium, Jamtha",Chennai Super Kings,bat,Deccan Chargers,,HDPK Dharmasena,SJA Taufel,"['Mohnish Mishra', 'Adam Gilchrist', 'Tirumalasetti Suman', 'Rohit Sharma', 'Andrew Symonds', 'Dwayne Smith', 'Bodapati Sumanth', 'Rp Singh', 'Pragyan Ojha', 'Ryan Harris', 'Harmeet Singh Bansal']","['Murali Vijay', 'Matthew Hayden', 'Suresh Raina', 'Ms Dhoni', 'Michael Hussey', 'Subramaniam Badrinath', 'Ravichandran Ashwin', 'Thilan Thushara', 'Shadab Jakati', 'Doug Bollinger', 'Sudeep Tyagi']",2.4672494630773825,2.481158618750108
Bangalore,2010-04-10,2010,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,,K Hariharan,DJ Harper,"['Sridharan Sriram', 'Jacques Kallis', 'Rahul Dravid', 'Robin Uthappa', 'Ross Taylor', 'Cameron White', 'Virat Kohli', 'Vinay Kumar', 'Praveen Kumar', 'Anil Kumble', 'Dale Steyn']","['Sourav Ganguly', 'Chris Gayle', 'Brendon Mccullum', 'Manoj Tiwary', 'Angelo Mathews', 'Wriddhiman Saha', 'Cheteshwar Pujara', 'Ajit Agarkar', 'Ashok Dinda', 'Ishant Sharma', 'Ajantha Mendis']",2.405617494799352,2.083446862887968
Delhi,2010-04-11,2010,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Delhi Daredevils,bat,Kings XI Punjab,,BF Bowden,AM Saheba,"['David Warner', 'Virender Sehwag', 'Gautam Gambhir', 'Paul Collingwood', 'Dinesh Karthik', 'Daniel Vettori', 'Mithun Manhas', 'Rajat Bhatia', 'Mf Maharoof', 'Amit Mishra', 'Ashish Nehra']","['Mahela Jayawardene', 'Irfan Pathan', 'Kumar Sangakkara', 'Yuvraj Singh', 'Adrian Barath', 'Juan Theron', 'Karan Goel', 'Reetinder Sodhi', 'Piyush Chawla', 'Ramesh Powar', 'Love Ablish']",2.281165461518067,1.7838512663784125
Jaipur,2010-04-11,2010,Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,Rajasthan Royals,field,Mumbai Indians,,BR Doctrove,SK Tarapore,"['Michael Lumb', 'Naman Ojha', 'Faiz Fazal', 'Shane Watson', 'Abhishek Jhunjhunwala', 'Adam Voges', 'Yusuf Pathan', 'Abhishek Raut', 'Aditya Dole', 'Shane Warne', 'Siddharth Trivedi']","['Sanath Jayasuriya', 'Sachin Tendulkar', 'Ambati Rayudu', 'Saurabh Tiwary', 'Jp Duminy', 'Kieron Pollard', 'Rajagopal Sathish', 'Dhawal Kulkarni', 'Harbhajan Singh', 'Lasith Malinga', 'Zaheer Khan']",2.189243167542422,2.4557865711566667
