City,Date,Season,Team1,Team2,Venue,TossWinner,TossDecision,WinningTeam,method,Umpire1,Umpire2,players_team1,players_team2,Total_Team1_Performance_score,Total_Team2_Performance_score
Delhi,2019-04-18,2019,Mumbai Indians,Delhi Capitals,Arun Jaitley Stadium,Mumbai Indians,bat,Mumbai Indians,,BNJ Oxenford,NJ Llong,"['Rohit Sharma', 'Quinton De Kock', 'Suryakumar Yadav', 'Kieron Pollard', 'Ben Cutting', 'Hardik Pandya', 'Krunal Pandya', 'Jayant Yadav', 'Rahul Chahar', 'Lasith Malinga', 'Jasprit Bumrah']","['Prithvi Shaw', 'Shikhar Dhawan', 'Shreyas Iyer', 'Rishabh Pant', 'Colin Munro', 'Chris Morris', 'Keemo Paul', 'Axar Patel', 'Amit Mishra', 'Kagiso Rabada', 'Ishant Sharma']",2.918190666619222,2.9501325912303855
Kolkata,2019-04-19,2019,Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,field,Royal Challengers Bangalore,,IJ Gould,Nitin Menon,"['Parthiv Patel', 'Virat Kohli', 'Moeen Ali', 'Heinrich Klaasen', 'Marcus Stoinis', 'Akshdeep Nath', 'Pawan Negi', 'Dale Steyn', 'Navdeep Saini', 'Mohammed Siraj', 'Yuzvendra Chahal']","['Chris Lynn', 'Sunil Narine', 'Robin Uthappa', 'Nitish Rana', 'Dinesh Karthik', 'Shubman Gill', 'Andre Russell', 'Piyush Chawla', 'Kuldeep Yadav', 'Harry Gurney', 'Prasidh Krishna']",2.020932374355889,2.6655796516447654
Delhi,2019-04-20,2019,Kings XI Punjab,Delhi Capitals,Arun Jaitley Stadium,Delhi Capitals,field,Delhi Capitals,,C Shamshuddin,UV Gandhe,"['Kl Rahul', 'Chris Gayle', 'Mayank Agarwal', 'David Miller', 'Mandeep Singh', 'Sam Curran', 'Ravichandran Ashwin', 'Harpreet Brar', 'Hardus Viljoen', 'Murugan Ashwin', 'Mohammad Shami']","['Prithvi Shaw', 'Shikhar Dhawan', 'Shreyas Iyer', 'Rishabh Pant', 'Colin Ingram', 'Sherfane Rutherford', 'Axar Patel', 'Amit Mishra', 'Kagiso Rabada', 'Ishant Sharma', 'Sandeep Lamichhane']",2.242522262881385,3.0541186636899624
Jaipur,2019-04-20,2019,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,field,Rajasthan Royals,,S Ravi,YC Barde,"['Quinton De Kock', 'Rohit Sharma', 'Suryakumar Yadav', 'Kieron Pollard', 'Ben Cutting', 'Hardik Pandya', 'Krunal Pandya', 'Mayank Markande', 'Rahul Chahar', 'Lasith Malinga', 'Jasprit Bumrah']","['Ajinkya Rahane', 'Steve Smith', 'Sanju Samson', 'Ashton Turner', 'Ben Stokes', 'Riyan Parag', 'Stuart Binny', 'Jofra Archer', 'Shreyas Gopal', 'Jaydev Unadkat', 'Dhawal Kulkarni']",2.966902456316702,2.2323523835191046
Hyderabad,2019-04-21,2019,Kolkata Knight Riders,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,,NJ Llong,Nitin Menon,"['Chris Lynn', 'Sunil Narine', 'Rinku Singh', 'Nitish Rana', 'Shubman Gill', 'Dinesh Karthik', 'Andre Russell', 'Piyush Chawla', 'Kc Cariappa', 'Harry Gurney', 'Prithvi Raj Yarra']","['David Warner', 'Jonny Bairstow', 'Kane Williamson', 'Vijay Shankar', 'Yusuf Pathan', 'Deepak Hooda', 'Rashid Khan', 'Bhuvneshwar Kumar', 'Shahbaz Nadeem', 'Khaleel Ahmed', 'Sandeep Sharma']",2.2092249729321214,3.123952731412289
Bengaluru,2019-04-21,2019,Royal Challengers Bangalore,Chennai Super Kings,M.Chinnaswamy Stadium,Chennai Super Kings,field,Royal Challengers Bangalore,,RJ Tucker,VA Kulkarni,"['Parthiv Patel', 'Virat Kohli', 'Ab De Villiers', 'Akshdeep Nath', 'Moeen Ali', 'Marcus Stoinis', 'Pawan Negi', 'Dale Steyn', 'Navdeep Saini', 'Yuzvendra Chahal', 'Umesh Yadav']","['Shane Watson', 'Faf Du Plessis', 'Suresh Raina', 'Ambati Rayudu', 'Ms Dhoni', 'Kedar Jadhav', 'Dwayne Bravo', 'Ravindra Jadeja', 'Deepak Chahar', 'Shardul Thakur', 'Imran Tahir']",2.45514253883205,2.9852896719383275
Jaipur,2019-04-22,2019,Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,Delhi Capitals,field,Delhi Capitals,,A Nand Kishore,S Ravi,"['Ajinkya Rahane', 'Sanju Samson', 'Steve Smith', 'Ben Stokes', 'Riyan Parag', 'Ashton Turner', 'Stuart Binny', 'Shreyas Gopal', 'Jofra Archer', 'Jaydev Unadkat', 'Dhawal Kulkarni']","['Prithvi Shaw', 'Shikhar Dhawan', 'Shreyas Iyer', 'Rishabh Pant', 'Colin Ingram', 'Sherfane Rutherford', 'Chris Morris', 'Axar Patel', 'Amit Mishra', 'Kagiso Rabada', 'Ishant Sharma']",2.2323523835191046,3.063379617736489
Chennai,2019-04-23,2019,Sunrisers Hyderabad,Chennai Super Kings,MA Chidambaram Stadium,Chennai Super Kings,field,Chennai Super Kings,,AK Chaudhary,NJ Llong,"['David Warner', 'Jonny Bairstow', 'Manish Pandey', 'Shakib Al Hasan', 'Vijay Shankar', 'Yusuf Pathan', 'Deepak Hooda', 'Rashid Khan', 'Bhuvneshwar Kumar', 'Khaleel Ahmed', 'Sandeep Sharma']","['Shane Watson', 'Faf Du Plessis', 'Suresh Raina', 'Ambati Rayudu', 'Kedar Jadhav', 'Ms Dhoni', 'Dwayne Bravo', 'Ravindra Jadeja', 'Deepak Chahar', 'Harbhajan Singh', 'Imran Tahir']",3.0899595126237314,3.0734850696465723
Bengaluru,2019-04-24,2019,Royal Challengers Bangalore,Kings XI Punjab,M.Chinnaswamy Stadium,Kings XI Punjab,field,Royal Challengers Bangalore,,BNJ Oxenford,C Shamshuddin,"['Parthiv Patel', 'Virat Kohli', 'Ab De Villiers', 'Moeen Ali', 'Marcus Stoinis', 'Akshdeep Nath', 'Washington Sundar', 'Tim Southee', 'Umesh Yadav', 'Yuzvendra Chahal', 'Navdeep Saini']","['Kl Rahul', 'Chris Gayle', 'Mayank Agarwal', 'David Miller', 'Nicholas Pooran', 'Mandeep Singh', 'Ravichandran Ashwin', 'Hardus Viljoen', 'Mohammad Shami', 'Murugan Ashwin', 'Ankit Rajpoot']",2.3545723777187275,2.4226854646044376
Kolkata,2019-04-25,2019,Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Rajasthan Royals,field,Rajasthan Royals,,AY Dandekar,IJ Gould,"['Chris Lynn', 'Sunil Narine', 'Shubman Gill', 'Nitish Rana', 'Dinesh Karthik', 'Rinku Singh', 'Andre Russell', 'Carlos Brathwaite', 'Piyush Chawla', 'Prithvi Raj Yarra', 'Prasidh Krishna']","['Ajinkya Rahane', 'Sanju Samson', 'Steve Smith', 'Ben Stokes', 'Riyan Parag', 'Stuart Binny', 'Jofra Archer', 'Shreyas Gopal', 'Jaydev Unadkat', 'Varun Aaron', 'Oshane Thomas']",2.2333331522067796,2.323398675536336
